ticker,company_name,exchange,sector,industry,market_cap,screener_price,quote_type,universe_cached_at
NVDA,NVIDIA Corporation,NMS,Technology,,5453600260096.0,225.16,EQUITY,2026-08-14T22:57:49+00:00
AAPL,Apple Inc.,NMS,Technology,,4464797286400.0,305.93,EQUITY,2026-08-14T22:57:49+00:00
GOOGL,Alphabet Inc.,NMS,Communication Services,,4230334382080.0,345.9,EQUITY,2026-08-14T22:57:49+00:00
GOOG,Alphabet Inc.,NMS,Communication Services,,4201472065536.0,343.54,EQUITY,2026-08-14T22:57:49+00:00
MSFT,Microsoft Corporation,NMS,Technology,,3678615371776.0,495.4,EQUITY,2026-08-14T22:57:49+00:00
AMZN,"Amazon.com, Inc.",NMS,Consumer Cyclical,,2833025073152.0,262.65,EQUITY,2026-08-14T22:57:49+00:00
TSM,Taiwan Semiconductor Manufactur,NYQ,Technology,,2211253321728.0,426.35,EQUITY,2026-08-14T22:57:49+00:00
AVGO,Broadcom Inc.,NMS,Technology,,1869681393664.0,392.99,EQUITY,2026-08-14T22:57:49+00:00
SPCX,Space Exploration Technologies ,NMS,Industrials,,1845449195520.0,140.0,EQUITY,2026-08-14T22:57:49+00:00
META,"Meta Platforms, Inc.",NMS,Communication Services,,1502646501376.0,589.85,EQUITY,2026-08-14T22:57:49+00:00
TSLA,"Tesla, Inc.",NMS,Consumer Cyclical,,1351811596288.0,342.27,EQUITY,2026-08-14T22:57:49+00:00
SKHY,SK hynix Inc.,NMS,Technology,,1180701687808.0,166.33,EQUITY,2026-08-14T22:57:49+00:00
BRK-B,Berkshire Hathaway Inc. New,NYQ,Financial Services,,1078981951488.0,504.03,EQUITY,2026-08-14T22:57:49+00:00
BRK-A,Berkshire Hathaway Inc.,NYQ,Financial Services,,1078304178176.0,755570.0,EQUITY,2026-08-14T22:57:49+00:00
LLY,Eli Lilly and Company,NYQ,Healthcare,,1052397535232.0,1180.16,EQUITY,2026-08-14T22:57:49+00:00
JPM,JP Morgan Chase & Co.,NYQ,Financial Services,,964496261120.0,362.84,EQUITY,2026-08-14T22:57:49+00:00
WMT,Walmart Inc.,NMS,Consumer Defensive,,917327708160.0,115.27,EQUITY,2026-08-14T22:57:49+00:00
AMD,"Advanced Micro Devices, Inc.",NMS,Technology,,839728824320.0,514.39,EQUITY,2026-08-14T22:57:49+00:00
ASML,ASML Holding N.V. - New York Re,NMS,Technology,,708311121920.0,1844.08,EQUITY,2026-08-14T22:57:49+00:00
V,Visa Inc.,NYQ,Financial Services,,679885275136.0,364.15,EQUITY,2026-08-14T22:57:49+00:00
XOM,ExxonMobil Holdings Corporation,NYQ,Energy,,658317115392.0,160.1,EQUITY,2026-08-14T22:57:49+00:00
JNJ,Johnson & Johnson,NYQ,Healthcare,,627417088000.0,260.35,EQUITY,2026-08-14T22:57:49+00:00
INTC,Intel Corporation,NMS,Technology,,541825761280.0,102.5,EQUITY,2026-08-14T22:57:49+00:00
MA,Mastercard Incorporated,NYQ,Financial Services,,498703663104.0,569.29,EQUITY,2026-08-14T22:57:49+00:00
BAC,Bank of America Corporation,NYQ,Financial Services,,450962325504.0,64.49,EQUITY,2026-08-14T22:57:49+00:00
ABBV,AbbVie Inc.,NYQ,Healthcare,,440825085952.0,249.46,EQUITY,2026-08-14T22:57:49+00:00
CSCO,"Cisco Systems, Inc.",NMS,Technology,,440179425280.0,111.68,EQUITY,2026-08-14T22:57:49+00:00
ORCL,Oracle Corporation,NYQ,Technology,,433568514048.0,150.52,EQUITY,2026-08-14T22:57:49+00:00
COST,Costco Wholesale Corporation,NMS,Consumer Defensive,,426227466240.0,961.1,EQUITY,2026-08-14T22:57:49+00:00
PLTR,Palantir Technologies Inc.,NMS,Technology,,418228273152.0,174.04,EQUITY,2026-08-14T22:57:49+00:00
LRCX,Lam Research Corporation,NMS,Technology,,415889031168.0,332.36,EQUITY,2026-08-14T22:57:49+00:00
AMAT,"Applied Materials, Inc.",NMS,Technology,,402680348672.0,507.18,EQUITY,2026-08-14T22:57:49+00:00
CAT,"Caterpillar, Inc.",NYQ,Industrials,,393743728640.0,856.57,EQUITY,2026-08-14T22:57:49+00:00
CVX,Chevron Corporation,NYQ,Energy,,392320679936.0,200.0,EQUITY,2026-08-14T22:57:49+00:00
GE,GE Aerospace,NYQ,Industrials,,382217289728.0,368.38,EQUITY,2026-08-14T22:57:49+00:00
KO,Coca-Cola Company (The),NYQ,Consumer Defensive,,377376571392.0,87.71,EQUITY,2026-08-14T22:57:49+00:00
UNH,UnitedHealth Group Incorporated,NYQ,Healthcare,,360590770176.0,401.73,EQUITY,2026-08-14T22:57:49+00:00
HSBC,"HSBC Holdings, plc.",NYQ,Financial Services,,356696424448.0,103.79,EQUITY,2026-08-14T22:57:49+00:00
MS,Morgan Stanley,NYQ,Financial Services,,341689925632.0,217.36,EQUITY,2026-08-14T22:57:49+00:00
PG,Procter & Gamble Company (The),NYQ,Consumer Defensive,,335996813312.0,144.55,EQUITY,2026-08-14T22:57:49+00:00
MRK,"Merck & Company, Inc.",NYQ,Healthcare,,335140585472.0,135.84,EQUITY,2026-08-14T22:57:49+00:00
NFLX,"Netflix, Inc.",NMS,Communication Services,,325453545472.0,78.16,EQUITY,2026-08-14T22:57:49+00:00
DELL,Dell Technologies Inc.,NYQ,Technology,,317133160448.0,490.81,EQUITY,2026-08-14T22:57:49+00:00
PANW,"Palo Alto Networks, Inc.",NMS,Technology,,313180028928.0,384.27,EQUITY,2026-08-14T22:57:49+00:00
GS,"Goldman Sachs Group, Inc. (The)",NYQ,Financial Services,,302649376768.0,1039.42,EQUITY,2026-08-14T22:57:49+00:00
RY,Royal Bank Of Canada,NYQ,Financial Services,,300945276928.0,216.56,EQUITY,2026-08-14T22:57:49+00:00
RTX,RTX Corporation,NYQ,Industrials,,300509626368.0,222.97,EQUITY,2026-08-14T22:57:49+00:00
ARM,Arm Holdings plc,NMS,Technology,,298441539584.0,279.44,EQUITY,2026-08-14T22:57:49+00:00
BABA,Alibaba Group Holding Limited,NYQ,Consumer Cyclical,,296756936704.0,123.81,EQUITY,2026-08-14T22:57:49+00:00
PM,Philip Morris International Inc,NYQ,Consumer Defensive,,296744386560.0,190.39,EQUITY,2026-08-14T22:57:49+00:00
NVS,Novartis AG,NYQ,Healthcare,,286779867136.0,150.88,EQUITY,2026-08-14T22:57:49+00:00
GEV,GE Vernova Inc.,NYQ,Industrials,,283179188224.0,1063.25,EQUITY,2026-08-14T22:57:49+00:00
WFC,Wells Fargo & Company,NYQ,Financial Services,,268591611904.0,88.82,EQUITY,2026-08-14T22:57:49+00:00
KLAC,KLA Corporation,NMS,Technology,,266169712640.0,203.72,EQUITY,2026-08-14T22:57:49+00:00
MUFG,"Mitsubishi UFJ Financial Group,",NYQ,Financial Services,,260044685312.0,23.06,EQUITY,2026-08-14T22:57:49+00:00
TXN,Texas Instruments Incorporated,NMS,Technology,,255325782016.0,279.58,EQUITY,2026-08-14T22:57:49+00:00
ANET,"Arista Networks, Inc.",NYQ,Technology,,250756710400.0,198.82,EQUITY,2026-08-14T22:57:49+00:00
SHEL,Shell PLC,NYQ,Energy,,249876643840.0,90.47,EQUITY,2026-08-14T22:57:49+00:00
AZN,AstraZeneca PLC,NYQ,Healthcare,,242636095488.0,156.45,EQUITY,2026-08-14T22:57:49+00:00
SAP,SAP  SE,NYQ,Technology,,240039870464.0,207.97,EQUITY,2026-08-14T22:57:49+00:00
SNDK,Sandisk Corporation,NMS,Technology,,239602057216.0,1641.11,EQUITY,2026-08-14T22:57:49+00:00
C,"Citigroup, Inc.",NYQ,Financial Services,,233717268480.0,139.33,EQUITY,2026-08-14T22:57:49+00:00
AXP,American Express Company,NYQ,Financial Services,,231280115712.0,342.48,EQUITY,2026-08-14T22:57:49+00:00
TM,Toyota Motor Corporation,NYQ,Consumer Cyclical,,226294349824.0,191.11,EQUITY,2026-08-14T22:57:49+00:00
AMGN,Amgen Inc.,NMS,Healthcare,,224628604928.0,415.21,EQUITY,2026-08-14T22:57:49+00:00
LIN,Linde plc,NMS,Basic Materials,,222533550080.0,482.74,EQUITY,2026-08-14T22:57:49+00:00
CRWD,"CrowdStrike Holdings, Inc.",NMS,Technology,,220911337472.0,216.95,EQUITY,2026-08-14T22:57:49+00:00
IBM,International Business Machines,NYQ,Technology,,220760932352.0,234.32,EQUITY,2026-08-14T22:57:49+00:00
STX,Seagate Technology Holdings PLC,NMS,Technology,,220624830464.0,973.44,EQUITY,2026-08-14T22:57:49+00:00
BHP,BHP Group Limited,NYQ,Basic Materials,,220451143680.0,86.78,EQUITY,2026-08-14T22:57:49+00:00
TMO,Thermo Fisher Scientific Inc,NYQ,Healthcare,,217518620672.0,588.29,EQUITY,2026-08-14T22:57:49+00:00
SAN,"Banco Santander, S.A. Sponsored",NYQ,Financial Services,,210279579648.0,14.76,EQUITY,2026-08-14T22:57:49+00:00
APH,Amphenol Corporation,NYQ,Technology,,206043856896.0,167.11,EQUITY,2026-08-14T22:57:49+00:00
TD,Toronto Dominion Bank (The),NYQ,Financial Services,,205449052160.0,124.36,EQUITY,2026-08-14T22:57:49+00:00
VZ,Verizon Communications Inc.,NYQ,Communication Services,,201423503360.0,48.48,EQUITY,2026-08-14T22:57:49+00:00
NVO,Novo Nordisk A/S,NYQ,Healthcare,,201050980352.0,45.89,EQUITY,2026-08-14T22:57:49+00:00
SHOP,Shopify Inc.,NMS,Technology,,200254078976.0,154.32,EQUITY,2026-08-14T22:57:49+00:00
MRVL,"Marvell Technology, Inc.",NMS,Technology,,199272824832.0,222.02,EQUITY,2026-08-14T22:57:49+00:00
TMUS,"T-Mobile US, Inc.",NMS,Communication Services,,195880566784.0,182.61,EQUITY,2026-08-14T22:57:49+00:00
TTE,TotalEnergies SE,NYQ,Energy,,195842310144.0,88.33,EQUITY,2026-08-14T22:57:49+00:00
MCD,McDonald's Corporation,NYQ,Consumer Cyclical,,193065828352.0,272.83,EQUITY,2026-08-14T22:57:49+00:00
ABT,Abbott Laboratories,NYQ,Healthcare,,192505151488.0,111.25,EQUITY,2026-08-14T22:57:49+00:00
PEP,"Pepsico, Inc.",NMS,Consumer Defensive,,192319127552.0,140.79,EQUITY,2026-08-14T22:57:49+00:00
SCHW,Charles Schwab Corporation (The,NYQ,Financial Services,,192111886336.0,111.09,EQUITY,2026-08-14T22:57:49+00:00
DIS,Walt Disney Company (The),NYQ,Communication Services,,184496488448.0,106.85,EQUITY,2026-08-14T22:57:49+00:00
BA,Boeing Company (The),NYQ,Industrials,,183105028096.0,231.67,EQUITY,2026-08-14T22:57:49+00:00
BLK,"BlackRock, Inc.",NYQ,Financial Services,,190703173632.0,1173.73,EQUITY,2026-08-14T22:57:49+00:00
NEE,"NextEra Energy, Inc.",NYQ,Utilities,,179790462976.0,86.19,EQUITY,2026-08-14T22:57:49+00:00
UBS,UBS Group AG Registered,NYQ,Financial Services,,175788687360.0,53.63,EQUITY,2026-08-14T22:57:49+00:00
ETN,"Eaton Corporation, PLC",NYQ,Industrials,,175366488064.0,451.51,EQUITY,2026-08-14T22:57:49+00:00
UNP,Union Pacific Corporation,NYQ,Industrials,,174468087808.0,293.68,EQUITY,2026-08-14T22:57:49+00:00
QCOM,QUALCOMM Incorporated,NMS,Technology,,174079492096.0,165.79,EQUITY,2026-08-14T22:57:49+00:00
GILD,"Gilead Sciences, Inc.",NMS,Healthcare,,171560206336.0,138.36,EQUITY,2026-08-14T22:57:49+00:00
T,AT&T Inc.,NYQ,Communication Services,,170555883520.0,24.89,EQUITY,2026-08-14T22:57:49+00:00
WELL,Welltower Inc.,NYQ,Real Estate,,169709125632.0,235.52,EQUITY,2026-08-14T22:57:49+00:00
TJX,"TJX Companies, Inc. (The)",NYQ,Consumer Cyclical,,168036581376.0,152.11,EQUITY,2026-08-14T22:57:49+00:00
SMFG,Sumitomo Mitsui Financial Group,NYQ,Financial Services,,167219773440.0,26.32,EQUITY,2026-08-14T22:57:49+00:00
DE,Deere & Company,NYQ,Industrials,,164351410176.0,608.85,EQUITY,2026-08-14T22:57:49+00:00
BKNG,Booking Holdings Inc. Common St,NMS,Consumer Cyclical,,159337742336.0,212.06,EQUITY,2026-08-14T22:57:49+00:00
BBVA,Banco Bilbao Vizcaya Argentaria,NYQ,Financial Services,,158375362560.0,28.7,EQUITY,2026-08-14T22:57:49+00:00
BUD,Anheuser-Busch Inbev SA Sponsor,NYQ,Consumer Defensive,,156997746688.0,79.73,EQUITY,2026-08-14T22:57:49+00:00
SCCO,Southern Copper Corporation,NYQ,Basic Materials,,155874279424.0,184.61,EQUITY,2026-08-14T22:57:49+00:00
RIO,Rio Tinto Plc,NYQ,Basic Materials,,155662139392.0,95.68,EQUITY,2026-08-14T22:57:49+00:00
UBER,"Uber Technologies, Inc.",NYQ,Technology,,155132428288.0,75.95,EQUITY,2026-08-14T22:57:49+00:00
PFE,"Pfizer, Inc.",NYQ,Healthcare,,152694259712.0,26.79,EQUITY,2026-08-14T22:57:49+00:00
COP,ConocoPhillips,NYQ,Energy,,152305565696.0,126.78,EQUITY,2026-08-14T22:57:49+00:00
GLW,Corning Incorporated,NYQ,Technology,,142981857280.0,165.99,EQUITY,2026-08-14T22:57:49+00:00
DHR,Danaher Corporation,NYQ,Healthcare,,142319517696.0,202.45,EQUITY,2026-08-14T22:57:49+00:00
SONY,Sony Group Corporation,NYQ,Technology,,142188953600.0,24.29,EQUITY,2026-08-14T22:57:49+00:00
ISRG,"Intuitive Surgical, Inc.",NMS,Healthcare,,141344276480.0,394.51,EQUITY,2026-08-14T22:57:49+00:00
LMT,Lockheed Martin Corporation,NYQ,Industrials,,140477710336.0,608.68,EQUITY,2026-08-14T22:57:49+00:00
COF,Capital One Financial Corporati,NYQ,Financial Services,,139469651968.0,227.34,EQUITY,2026-08-14T22:57:49+00:00
PLD,"Prologis, Inc.",NYQ,Real Estate,,137094045696.0,141.03,EQUITY,2026-08-14T22:57:49+00:00
