rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,4014181120.00000000,2026-07-22,112.94999695,-0.03560456,-0.31278902,-0.34514147,-0.37433026,-0.44819934,XLF,-0.38449074,-0.39871287,0.04725805,0.02633699,0.04555208,0.35942569,25.00000000,38.00000000,0.39682540,0.04899431,0.04553410,0.41297873,0.05482655,0.03678877,0.03026475,0.23297711,58.00000000,68.00000000,0.46031746,0.05929133,0.02838283,0.22763285,0.56723943,1.16474134,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.03079109,0.93841781
2,RLJ,RLJ Lodging Trust,Real Estate,1882810112.00000000,2026-07-22,12.32999992,0.08538735,0.53167697,0.64619497,0.47013573,0.54313709,XLRE,0.50358196,0.55899698,0.05029941,0.01981976,0.05810643,0.49581552,46.00000000,16.00000000,0.74193548,0.04703570,0.05169889,0.43817896,0.06796113,0.03606099,0.03516117,0.25917124,77.00000000,46.00000000,0.62601626,0.04864073,0.02626833,0.22404588,0.85755065,0.87805996,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96257698,0.92515396
3,DINO,HF Sinclair Corporation,Energy,16379826176.00000000,2026-07-22,90.86000061,0.38001224,0.52552046,0.88701968,0.46397922,0.78396181,XLE,0.46591778,0.64332215,0.06329457,0.05262419,0.04999077,0.33539486,39.00000000,24.00000000,0.61904762,0.04659570,0.04526679,0.35404770,0.10855659,0.17113220,0.04062962,0.23833794,75.00000000,51.00000000,0.59523810,0.13389480,0.06361229,0.19807035,1.14799941,0.79903971,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95878730,0.91757461
4,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4257041920.00000000,2026-07-22,85.68000031,0.11402934,0.38551100,0.48569452,0.32396976,0.38263665,XLY,0.42711816,0.52850854,0.06946504,0.03781718,0.06250822,0.29495381,38.00000000,25.00000000,0.60317460,0.07562418,0.06244591,0.30434014,0.06946504,0.03781718,0.03054809,0.17456467,71.00000000,55.00000000,0.56349206,0.07562418,0.03324618,0.19327611,1.20415142,0.86566100,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95120796,0.90241592
5,MSGE,Madison Square Garden Entertain,Communication Services,3698322944.00000000,2026-07-22,78.18000031,0.03797133,0.27287533,0.33299230,0.21133409,0.22993442,XLC,0.34081666,0.37062343,0.03412869,0.03241234,0.04476635,0.31754745,36.00000000,27.00000000,0.57142857,0.04936135,0.05668784,0.35789296,0.04232166,0.03241234,0.02460149,0.16754121,66.00000000,60.00000000,0.52380952,0.04936135,0.02969468,0.19598418,0.79434011,0.90629797,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92989105,0.85978209
6,STN,Stantec Inc,Industrials,7762258944.00000000,2026-07-22,68.05000305,-0.00656930,-0.24640088,-0.31102556,-0.30794212,-0.41408343,XLI,-0.28962302,-0.40470872,0.06621332,0.02540746,0.06853568,0.29119349,26.00000000,37.00000000,0.41269841,0.07798405,0.07576725,0.31596439,0.11651668,0.04101496,0.05930284,0.18849164,58.00000000,68.00000000,0.46031746,0.11185708,0.06014619,0.24847499,0.70221151,0.76624206,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07626717,0.84746566
7,CON,Concentra Group Holdings Parent,Healthcare,4001364736.00000000,2026-07-22,31.27000046,0.09757812,0.40350087,0.42720222,0.34195964,0.32414435,XLV,0.31091593,0.40126915,0.03704905,0.02838983,0.04645591,0.42770321,36.00000000,26.00000000,0.58064516,0.03829707,0.04842142,0.31662614,0.03903506,0.03113012,0.02384633,0.21804875,66.00000000,57.00000000,0.53658537,0.03962662,0.02573519,0.21438960,0.79911004,1.02262313,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92089057,0.84178115
8,STLA,Stellantis N.V.,Consumer Cyclical,16805545984.00000000,2026-07-22,5.80000019,-0.09090908,-0.32479626,-0.38034184,-0.38633750,-0.48339971,XLY,-0.28318910,-0.33752782,0.06676133,0.06753247,0.04644310,0.27169861,24.00000000,38.00000000,0.38709677,0.06893029,0.05715992,0.29043658,0.23689725,0.24947590,0.08034465,0.16023890,57.00000000,67.00000000,0.45967742,0.27443899,0.10956349,0.17359583,0.69361001,0.61613819,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.08053055,0.83893889
9,MSM,"MSC Industrial Direct Company, ",Industrials,7108116480.00000000,2026-07-22,127.27999878,0.08406435,0.31054361,0.48743718,0.24900237,0.38437930,XLI,0.26732147,0.39375402,0.06480626,0.03025656,0.07886357,0.33127867,32.00000000,30.00000000,0.51612903,0.06256101,0.08795594,0.32073016,0.06480626,0.03999128,0.03880408,0.23902231,65.00000000,60.00000000,0.52000000,0.06256101,0.04488441,0.22061850,0.76272793,0.79155205,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90336333,0.80672667
10,PSX,Phillips 66,Energy,84761673728.00000000,2026-07-22,211.41000366,0.25532925,0.32645249,0.52675671,0.26491125,0.42369884,XLE,0.26684980,0.28305918,0.05271816,0.03722396,0.04884430,0.26268739,39.00000000,24.00000000,0.61904762,0.03739485,0.05454062,0.32760102,0.05271816,0.04579279,0.02550458,0.20537872,69.00000000,57.00000000,0.54761905,0.03739485,0.02902291,0.15914887,0.78578295,1.00877650,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.90288963,0.80577925
