rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8855652352.00000000,2026-07-10,83.58000183,-0.00047837,0.97916180,1.39004858,1.36576254,XLV,0.04056407,1.34948451,18.14791769,537573182.79258728,6.51602226,0.98738999,0.98857969,-0.00047837,2.11284919,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,76.59490000,2026-07-10,2,2,2,3.00000000,2.00000000,True,False
2,DFTX,"Definium Therapeutics, Inc.",Healthcare,,NMS,5794243072.00000000,2026-07-10,47.06999969,-0.02848299,0.06517314,1.05098031,1.02669427,XLV,0.04056407,1.01041624,0.51928251,195265352.52326965,3.32677689,0.49795747,0.57598050,-0.02848299,4.83271394,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,43.02370000,2026-07-10,2,2,2,6.00000000,4.00000000,True,False
3,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1221582208.00000000,2026-07-10,36.24000168,0.11851852,0.87772037,1.26925492,1.24496888,XLV,0.04056407,1.22869085,2.39613185,21959656.67417526,,0.55994226,0.02861863,0.00000000,1.36553540,spy_relative;sector_relative;volume;single_day_move,4,threshold_and_sector_coverage,40.25110000,2026-07-10,2,2,2,9.00000000,6.00000000,True,False
4,HQ,Horizon Quantum Holdings Ltd.,Technology,,NCM,1102740480.00000000,2026-07-10,22.98999977,-0.04447214,-0.03322123,1.14458948,1.12030344,XLK,0.02771474,1.11687473,0.30663281,41002057.92397976,,0.63336388,0.13125002,-0.40114613,1.75990396,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,38.88780000,2026-07-10,2,2,2,8.00000000,4.00000000,True,False
5,QURE,uniQure N.V.,Healthcare,,NMS,2825801472.00000000,2026-07-10,42.63000107,-0.04159169,0.01961252,0.61111121,0.58682517,XLV,0.04056407,0.57054713,0.49086429,139454835.77528000,2.20231329,0.78436459,0.61356056,-0.39609005,3.72093049,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,35.90570000,2026-07-10,2,2,2,7.00000000,2.00000000,True,False
6,MBX,"MBX Biosciences, Inc.",Healthcare,,NMS,2857756160.00000000,2026-07-10,61.04999924,-0.07091767,0.05622837,1.04385663,1.01957059,XLV,0.04056407,1.00329256,0.78823152,57925662.28372574,1.03236087,0.20200065,0.14093960,-0.07091767,5.26475115,spy_relative;sector_relative;single_day_move;gap,4,threshold,30.18490000,2026-07-10,2,2,2,13.00000000,7.00000000,True,False
7,APGE,"Apogee Therapeutics, Inc.",Healthcare,,NGM,10061084672.00000000,2026-07-10,133.64999390,0.00059884,0.00556760,0.57235287,0.54806683,XLV,0.04056407,0.53178880,0.27046728,789786829.14833069,2.95011839,0.46658561,0.46713886,0.00000000,2.85714251,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,28.80390000,2026-07-10,2,2,2,10.00000000,3.00000000,True,False
8,BFLY,"Butterfly Network, Inc.",Healthcare,,NYQ,2116675072.00000000,2026-07-10,7.98000002,-0.00498759,0.03906253,0.55859379,0.53430775,XLV,0.04056407,0.51802972,0.69338747,97932546.71327591,2.00114000,0.55866892,0.26269702,-0.10437709,4.99999982,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,26.22210000,2026-07-10,2,2,2,11.00000000,3.00000000,True,False
9,ABSI,Absci Corporation,Healthcare,,NMS,1729577472.00000000,2026-07-10,10.60000038,-0.07585003,-0.08777965,0.55197665,0.52769061,XLV,0.04056407,0.51141257,0.63031784,79400790.75908422,1.51259842,0.35964913,0.28340087,-0.08777965,3.60869591,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,23.18360000,2026-07-10,2,2,2,12.00000000,3.00000000,True,False
10,SLS,"SELLAS Life Sciences Group, Inc",Healthcare,,NCM,2481502976.00000000,2026-07-10,12.76000023,-0.05551443,-0.14819756,0.66145840,0.63717236,XLV,0.04056407,0.62089433,0.86679092,139647101.37903690,1.23068266,0.24697332,0.07586760,-0.17411001,8.17985637,spy_relative;sector_relative;single_day_move;gap,4,threshold,20.33780000,2026-07-10,2,2,2,15.00000000,5.00000000,True,False
