rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8874702848.00000000,2026-07-27,83.84999847,0.00239088,-0.00011927,1.31757871,1.17735659,0.52593262,0.03522708,0.07234167,1.31105544,1.14212950,0.45359095,XLV,0.04992603,0.13330561,0.03759206,1.26765268,1.04405098,0.48834055,0.51111289,701983508.39076996,6.62571277,0.98738999,2026-07-07,0.98738999,0.80159888,0.90771060,0.00215492,0.00442958,0.98857969,-0.00071511,2.12290493,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,64.87910000,2026-07-10,5,10,11,1.00000000,0.00000000,True,True
2,UTZ,Utz Brands Inc,Consumer Defensive,,NYQ,1246601856.00000000,2026-07-27,14.07999992,-0.00141847,0.88993292,0.95013855,0.81443293,0.35124758,0.03522708,0.07234167,0.94361528,0.77920584,0.27890592,XLP,0.01089529,0.02252033,0.03755931,0.93924326,0.79191260,0.31368828,9.87645887,80219557.50457525,6.34809524,0.88724843,2026-07-21,0.88724843,0.68763460,0.64499004,,,0.88993292,-0.00845070,1.07058817,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,58.64300000,2026-07-21,5,5,5,3.00000000,1.00000000,True,True
3,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1466526720.00000000,2026-07-27,42.02999878,0.11663123,0.15087618,1.51827426,1.21210520,,0.03522708,0.07234167,1.51175099,1.17687811,,XLV,0.04992603,0.13330561,0.03759206,1.46834823,1.07879959,,1.07937302,33567948.84324074,,0.55994226,2026-07-09,0.55994226,0.38162747,0.69835852,0.11759251,0.16172832,0.15223166,0.00000000,1.74347256,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,47.42520000,2026-07-10,5,10,11,5.00000000,2.00000000,True,True
4,WLFC,Willis Lease Finance Corporatio,Industrials,,NGM,1684222336.00000000,2026-07-27,70.47000122,0.04415474,-0.64045918,-0.66520975,-0.62527915,-0.61173553,0.03522708,0.07234167,-0.67173302,-0.66050624,-0.68407720,XLI,-0.00499673,0.06221369,0.11557664,-0.66021302,-0.68749285,-0.72731217,1.30801585,31026856.94545746,4.50765539,0.67064962,2026-07-20,-0.67064962,0.55688357,0.66506197,,,0.66423167,-0.70626485,0.11644491,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,38.72420000,2026-07-22,4,4,4,4.00000000,0.00000000,True,True
5,SAFT,"Safety Insurance Group, Inc.",Financial Services,,NMS,1512393728.00000000,2026-07-27,103.00000000,-0.00193795,0.39471905,0.42088568,0.35455022,0.35758529,0.03522708,0.07234167,0.41436241,0.31932314,0.28524363,XLF,0.06417213,0.10618442,0.07179200,0.35671355,0.24836580,0.28579330,6.29776105,25914009.55757141,7.52049525,0.41486144,2026-07-24,0.41486144,0.64918258,0.61552009,,,0.41225663,-0.00193795,0.52887035,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,29.96680000,2026-07-27,1,1,1,,,True,False
6,MAN,ManpowerGroup,Industrials,,NYQ,2496049152.00000000,2026-07-27,53.66999817,0.07447442,0.02541074,0.64682412,0.83424463,0.71196164,0.03522708,0.07234167,0.64030084,0.79901754,0.63961998,XLI,-0.00499673,0.06221369,0.11557664,0.65182085,0.77203093,0.59638500,0.88213906,83338489.08823013,2.23294829,0.32368019,2026-07-16,0.32368019,0.32083011,0.52158490,-0.03291386,,0.19887233,0.00000000,1.08427177,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,25.10520000,2026-07-16,5,8,8,7.00000000,1.00000000,True,True
7,ATAI,AtaiBeckley Inc.,Healthcare,,NGM,2652573184.00000000,2026-07-27,7.17000008,-0.00139272,-0.00278164,0.56550223,0.54859609,0.72771082,0.03522708,0.07234167,0.55897895,0.51336901,0.65536915,XLV,0.04992603,0.13330561,0.03759206,0.51557619,0.41529049,0.69011876,0.46681951,130324879.52960968,1.81448295,0.33395521,2026-07-16,0.33395521,0.30969914,0.44123721,0.00279720,,0.31809699,-0.00692517,1.16616320,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,23.95660000,2026-07-10,5,10,11,6.00000000,-1.00000000,True,True
8,ABVX,Abivax SA,Healthcare,,NGM,11156566016.00000000,2026-07-27,128.00000000,0.01829756,-0.02661597,0.38573126,0.11731846,0.04814934,0.03522708,0.07234167,0.37920798,0.08209138,-0.02419233,XLV,0.04992603,0.13330561,0.03759206,0.33580522,-0.01598715,0.01055727,0.32231295,247461090.33588409,1.54068960,0.38595936,2026-06-30,0.38595936,0.45818926,0.41830276,0.03962178,0.02761525,0.36136248,-0.11912462,0.92278805,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,20.64080000,2026-07-10,5,10,11,8.00000000,0.00000000,True,True
9,RNG,"Ringcentral, Inc.",Technology,,NYQ,4503207424.00000000,2026-07-27,53.70000076,0.11157109,0.31811484,0.54978350,0.31295840,1.00223719,0.03522708,0.07234167,0.54326023,0.27773132,0.92989552,XLK,-0.05564287,0.08787918,0.20132337,0.60542637,0.22507923,0.80091382,2.87354008,99181075.27059555,1.28230328,0.25090634,2026-07-24,0.25090634,0.27893148,0.50804700,,,0.04867947,0.00000000,1.27349699,spy_relative;sector_relative;volume;single_day_move,4,threshold_and_sector_coverage,19.53940000,2026-07-24,2,2,2,16.00000000,7.00000000,True,False
10,CDNA,"CareDx, Inc.",Healthcare,,NGM,1878338688.00000000,2026-07-27,36.36000061,-0.03323584,-0.08482253,0.34021385,0.81256239,0.72978115,0.03522708,0.07234167,0.33369058,0.77733531,0.65743948,XLV,0.04992603,0.13330561,0.03759206,0.29028781,0.67925679,0.69218909,0.78403318,37057415.52673340,1.88224411,0.35596639,2026-07-16,0.35596639,0.45818301,0.40399794,-0.06767475,,0.22352946,-0.09866137,2.14261033,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,17.33310000,2026-07-15,5,9,9,9.00000000,-1.00000000,True,True
