rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CRUS,"Cirrus Logic, Inc.",Technology,6260685312.00000000,2026-08-07,124.91999817,-0.16675561,-0.27236717,-0.10835123,-0.32933974,-0.24949230,XLK,-0.38009302,-0.49425401,0.06394130,0.05617367,0.05209119,0.25739120,30.00000000,33.00000000,0.47619048,0.07731401,0.07265376,0.39493540,0.06394130,0.05617367,0.02699581,0.04831518,69.00000000,56.00000000,0.55200000,0.07731401,0.03588197,0.20468729,1.49598191,1.05058564,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_relative_126d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.01566324,0.96867352
2,HAE,Haemonetics Corporation,Healthcare,3996460800.00000000,2026-08-07,87.83999634,0.17119995,0.61559680,0.35096895,0.55862423,0.20982787,XLV,0.47076546,0.28096122,0.06518457,0.04116886,0.05289070,0.39289102,36.00000000,27.00000000,0.57142857,0.05162659,0.04284913,0.28588481,0.08735769,0.08372895,0.03741730,0.12907747,67.00000000,59.00000000,0.53174603,0.10977689,0.04758408,0.10106429,1.78565695,0.77553933,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96084190,0.92168380
3,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,29646241792.00000000,2026-08-07,251.77999878,0.14565225,0.37269655,0.18490278,0.31572398,0.04376171,XLY,0.37286336,0.16490450,0.06485438,0.02397831,0.05646559,0.27790018,34.00000000,29.00000000,0.53968254,0.05641483,0.05452939,0.30635134,0.06485438,0.04090480,0.02871531,0.07535808,62.00000000,64.00000000,0.49206349,0.05641483,0.02994453,0.07954435,1.22737700,0.95128812,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94224180,0.88448360
4,AXTA,Axalta Coating Systems Ltd.,Basic Materials,8173423616.00000000,2026-08-07,38.18999863,0.17327187,0.33671680,0.13021597,0.27974423,-0.01092511,XLB,0.30831215,0.08348328,0.05038521,0.04651159,0.04591408,0.26532703,37.00000000,26.00000000,0.58730159,0.03863496,0.04571999,0.31029238,0.09682360,0.10715657,0.04225254,0.05355294,62.00000000,64.00000000,0.49206349,0.05961570,0.03423973,0.04407213,0.88419987,0.95729688,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92168380,0.84336760
5,PK,Park Hotels & Resorts Inc.,Real Estate,2972100864.00000000,2026-08-07,14.76000023,0.04384723,0.31903492,0.32139661,0.26206235,0.18025553,XLRE,0.30597190,0.23044342,0.06347894,0.02337110,0.06800286,0.29826859,37.00000000,24.00000000,0.60655738,0.07804836,0.08941627,0.30236273,0.06347894,0.03018495,0.03364611,0.14820022,65.00000000,58.00000000,0.52845528,0.07804836,0.04362880,0.10712474,1.45848455,0.84499715,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92070485,0.84140969
6,GEF,Greif Inc.,Consumer Cyclical,5041294848.00000000,2026-08-07,88.68000031,0.23012907,0.30411765,0.19902652,0.24714508,0.05788544,XLY,0.30428446,0.17902824,0.04618520,0.03802781,0.05123702,0.29603454,40.00000000,23.00000000,0.63492063,0.05291521,0.05685199,0.28546055,0.04618520,0.03802781,0.02865489,0.11291875,66.00000000,60.00000000,0.52380952,0.05291521,0.03079244,0.09410180,1.41500890,1.23413558,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.92021537,0.84043074
7,MMSI,"Merit Medical Systems, Inc.",Healthcare,5316615680.00000000,2026-08-07,89.04000092,0.24601178,0.42852556,0.11817159,0.37155299,-0.02296948,XLV,0.28369422,0.04816387,0.03940642,0.05146972,0.03774583,0.34319223,39.00000000,23.00000000,0.62903226,0.04707397,0.05530509,0.26009586,0.09049578,0.05146972,0.04337216,0.05353529,62.00000000,62.00000000,0.50000000,0.08915408,0.04900491,0.02420120,1.69475945,0.94232713,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.90797846,0.81595693
8,PDI,PIMCO Dynamic Income Fund,Financial Services,7421955584.00000000,2026-08-07,16.07999992,-0.03712580,-0.09152547,-0.12798268,-0.14849804,-0.26912375,XLF,-0.20888724,-0.20886084,0.02146694,0.01355165,0.05651843,0.25233542,25.00000000,37.00000000,0.40322581,0.02814196,0.05287078,0.38881691,0.03134421,0.02111877,0.03988771,0.17405691,56.00000000,66.00000000,0.45901639,0.03862525,0.03675693,0.20433370,1.07357348,1.09052112,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.10376897,0.79246207
9,PFGC,Performance Food Group Company,Consumer Defensive,18049624064.00000000,2026-08-07,114.90000153,0.02552660,0.23934853,0.27496669,0.18237597,0.13382561,XLP,0.22577388,0.29567533,0.03437230,0.01706026,0.04535851,0.28390455,42.00000000,21.00000000,0.66666667,0.03500144,0.04946338,0.28419428,0.08563203,0.09090907,0.04639410,0.13213138,73.00000000,52.00000000,0.58400000,0.07304119,0.04470269,0.16147917,0.81116165,0.69250067,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.87616251,0.75232501
10,CDP,COPT Defense Properties,Real Estate,4302462976.00000000,2026-08-07,37.13999939,0.01976939,0.16719044,0.16062498,0.11021787,0.01948391,XLRE,0.15412742,0.06967179,0.03771283,0.01643491,0.06769267,0.27853107,37.00000000,26.00000000,0.58730159,0.03015455,0.06112487,0.28707348,0.03771283,0.03001241,0.03297971,0.13046819,67.00000000,59.00000000,0.53174603,0.03032666,0.02948276,0.06018414,0.84620376,0.72281066,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.80763583,0.61527166
