rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,MRNA,"Moderna, Inc.",Healthcare,,NMS,57941106688.00000000,2026-08-21,145.13000488,0.08858384,1.29200893,1.54524735,2.07088468,1.91016659,0.03096726,0.11065660,1.50793940,2.03991742,1.79950999,XLV,0.08164019,0.17867028,0.11350585,1.46360716,1.89221440,1.79666075,14.52842574,3307764134.15161896,9.21738373,1.76969516,2026-08-19,1.76969516,0.67226589,0.49008921,,,0.84275728,-0.16773712,5.49060827,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,88.68140000,2026-07-10,3,3,3,1.00000000,0.00000000,True,True
2,MNST,Monster Beverage Corporation,Consumer Defensive,,NMS,93623083008.00000000,2026-08-21,47.79000092,0.00631710,0.02071767,0.99811861,0.10013818,0.16575197,0.03096726,0.11065660,0.96081066,0.06917092,0.05509537,XLP,0.03340943,0.01570983,-0.02161795,0.96470918,0.08442835,0.18736992,0.82942308,526098202.05298042,3.36936378,0.95589003,2026-07-23,0.95589003,0.23881643,0.19413365,0.04371531,-0.49679347,1.02012868,-0.04362618,1.03016139,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,54.54410000,2026-08-10,1,2,1,,,True,False
3,AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,,NMS,4307615232.00000000,2026-08-21,38.65999985,-0.02521432,0.78733247,1.19783965,1.77530503,1.75945747,0.03096726,0.11065660,1.16053171,1.74433777,1.64880088,XLV,0.08164019,0.17867028,0.11350585,1.11619946,1.59663474,1.64595163,4.58418211,120317685.17379570,4.15277362,0.63835745,2026-08-18,0.63835745,0.46197178,0.64424396,,,0.39570693,-0.02521432,3.54823528,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,48.54680000,2026-08-06,4,4,4,2.00000000,-1.00000000,True,True
4,REPL,"Replimune Group, Inc.",Healthcare,,NMS,1391624064.00000000,2026-08-21,14.77000046,0.05124557,-0.01336004,0.41204593,1.82950212,0.70949073,0.03096726,0.11065660,0.37473798,1.79853486,0.59883413,XLV,0.08164019,0.17867028,0.11350585,0.33040574,1.65083183,0.59598488,0.41168411,87236784.27909116,2.06219411,1.07024032,2026-07-31,1.07024032,0.45074303,0.16268284,0.07678577,0.33660719,1.10332718,-0.05198970,7.68823532,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,41.24010000,2026-08-04,5,10,13,3.00000000,-1.00000000,True,True
5,TEAM,Atlassian Corporation,Technology,,NMS,43491778560.00000000,2026-08-21,171.80999756,-0.01772344,0.05911723,1.14360567,1.09065462,1.26125283,0.03096726,0.11065660,1.10629772,1.05968737,1.15059623,XLK,0.02723452,0.02637173,0.30117825,1.11637114,1.06428289,0.96007458,0.82114097,784675295.68748474,1.57386153,0.35309077,2026-08-07,0.35309077,0.31055613,0.71216875,0.08821355,0.15254571,0.31737312,-0.05785262,2.00629909,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,38.41070000,2026-07-27,5,10,11,4.00000000,-1.00000000,True,True
6,HTFL,"Heartflow, Inc.",Healthcare,,NMS,4325942784.00000000,2026-08-21,49.75000000,0.06303421,0.18227181,1.02153591,0.70376708,0.98207168,0.03096726,0.11065660,0.98422797,0.67279982,0.87141508,XLV,0.08164019,0.17867028,0.11350585,0.93989572,0.52509680,0.86856584,2.17682365,75276340.23973045,1.66763451,0.35698167,2026-08-14,0.35698167,0.39142635,0.82876340,0.18227181,,0.25959371,0.00000000,1.42801369,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,35.18090000,2026-07-20,5,6,6,5.00000000,-1.00000000,True,True
7,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,3668216064.00000000,2026-08-21,11.31999969,-0.02160761,-0.00527244,0.99647258,1.20233463,2.72368416,0.03096726,0.11065660,0.95916464,1.17136737,2.61302756,XLV,0.08164019,0.17867028,0.11350585,0.91483239,1.02366435,2.61017831,0.79972761,93528524.21501064,1.54012968,0.34776340,2026-08-10,0.34776340,0.30775200,0.64827861,0.19914343,,0.26406933,-0.05745217,3.07194238,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,33.19220000,2026-07-28,5,10,10,6.00000000,-1.00000000,True,True
8,NIQ,NIQ Global Intelligence plc,Technology,,NYQ,5539271680.00000000,2026-08-21,18.78000069,0.03471080,0.07621776,0.80057528,1.22248534,0.66637089,0.03096726,0.11065660,0.76326733,1.19151808,0.55571429,XLK,0.02723452,0.02637173,0.30117825,0.77334075,1.19611361,0.36519264,0.73024203,30373814.28144569,2.15928067,0.41952050,2026-08-11,0.41952050,0.49481850,0.75991743,0.04463207,,0.17380134,0.00000000,1.35633641,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,29.12310000,2026-08-11,5,9,9,11.00000000,3.00000000,True,True
9,HZO,"MarineMax, Inc.  (FL)",Consumer Cyclical,,NYQ,1152927616.00000000,2026-08-21,52.20000076,-0.00095692,0.00346021,0.55495982,0.52631578,0.83544303,0.03096726,0.11065660,0.51765188,0.49534852,0.72478643,XLY,0.08514154,-0.00572873,0.00485313,0.46981828,0.53204451,0.83058990,0.69071938,45806758.10421753,3.38313382,0.46076229,2026-08-10,0.46076229,0.60264909,0.64911374,0.00249426,,0.45431611,-0.00495613,1.43583761,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,27.67130000,2026-08-10,5,10,10,9.00000000,0.00000000,True,True
10,OMER,Omeros Corporation,Healthcare,,NGM,1394923008.00000000,2026-08-21,19.27000046,0.03435326,0.12100057,0.87451371,0.61120405,0.60049838,0.03096726,0.11065660,0.83720577,0.58023679,0.48984178,XLV,0.08164019,0.17867028,0.11350585,0.79287352,0.43253376,0.48699253,0.97226864,39422670.62694836,1.48452931,0.26549966,2026-08-13,0.26549966,0.29986996,0.74958356,0.07377514,,0.21444198,0.00000000,3.78163758,spy_relative;sector_relative;single_day_move;gap,4,threshold,27.23230000,2026-08-13,5,7,7,7.00000000,-3.00000000,True,True
