rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,MRNA,"Moderna, Inc.",Healthcare,,NMS,59749646336.00000000,2026-08-26,149.66000366,-0.05773467,-0.14175938,1.68183860,2.14345729,1.91337370,0.02081389,0.10521531,1.64779703,2.12264340,1.80815839,XLV,0.03754633,0.16634183,0.09953742,1.64429227,1.97711546,1.81383627,3.82324853,4044251268.81794357,9.24989713,1.76969516,2026-08-19,1.76969516,0.63361863,0.47909359,-0.14175938,,0.84275728,-0.14175938,5.69320213,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,86.76250000,2026-07-10,5,6,6,1.00000000,0.00000000,True,True
2,REPL,"Replimune Group, Inc.",Healthcare,,NMS,1496207744.00000000,2026-08-26,15.88000011,0.00506329,0.07224846,1.96822437,2.37872357,0.93658542,0.02081389,0.10521531,1.93418281,2.35790967,0.83137012,XLV,0.03754633,0.16634183,0.09953742,1.93067804,2.21238173,0.83704800,0.36829160,79204883.64583822,1.81316795,1.07024032,2026-07-31,1.07024032,0.56489594,0.71058769,0.07678577,0.33660719,1.10332718,0.00000000,8.34117628,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,80.57050000,2026-08-04,5,10,16,2.00000000,0.00000000,True,True
3,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,3966339584.00000000,2026-08-26,12.23999977,-0.02080002,0.01915067,1.31379960,1.24999993,2.83699046,0.02081389,0.10521531,1.27975803,1.22918604,2.73177515,XLV,0.03754633,0.16634183,0.09953742,1.27625327,1.08365810,2.73745303,0.65842047,102441807.69820833,1.72236211,0.34776340,2026-08-10,0.34776340,0.26561910,0.68110441,0.19914343,0.13597425,0.26406933,-0.02080002,3.40287766,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,41.83890000,2026-07-28,5,10,13,3.00000000,0.00000000,True,True
4,AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,,NMS,4131566848.00000000,2026-08-26,37.08000183,-0.01014408,-0.03937815,0.89667536,1.63539464,1.58037593,0.02081389,0.10521531,0.86263380,1.61458075,1.47516062,XLV,0.03754633,0.16634183,0.09953742,0.85912903,1.46905281,1.48083851,1.26510706,128425732.43558884,4.18220260,0.63835745,2026-08-18,0.63835745,0.48548967,0.55257134,0.06693245,,0.39570693,-0.06505290,2.95309183,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,39.08250000,2026-08-06,5,7,7,4.00000000,0.00000000,True,True
5,LIFE,Ethos Technologies Inc.,Financial Services,,NMS,3748242176.00000000,2026-08-26,39.11000061,0.01426347,0.19056324,1.08031927,0.85004739,2.30320947,0.02081389,0.10521531,1.04627770,0.82923349,2.19799416,XLF,0.01145833,0.13302218,0.12319259,1.06886093,0.71702521,2.18001688,1.11434393,56697804.97899704,0.91740575,0.21112570,2026-08-04,0.21112570,0.22187262,0.80114567,0.20976496,0.23001804,0.19710907,0.00000000,2.97055828,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,32.27120000,2026-08-06,5,10,15,9.00000000,4.00000000,True,True
6,HTFL,"Heartflow, Inc.",Healthcare,,NMS,4255510272.00000000,2026-08-26,48.93999863,-0.01904191,0.07489567,0.91246574,0.67144800,1.12782603,0.02081389,0.10521531,0.87842418,0.65063411,1.02261072,XLV,0.03754633,0.16634183,0.09953742,0.87491941,0.50510617,1.02828861,1.10491789,84313885.37298679,1.67248513,0.35698167,2026-08-14,0.35698167,0.41228653,0.80601895,0.18227181,,0.25959371,-0.02509964,1.38848215,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,31.84000000,2026-07-20,5,9,9,5.00000000,-1.00000000,True,True
7,MNST,Monster Beverage Corporation,Consumer Defensive,,NMS,93662265344.00000000,2026-08-26,47.81000137,-0.01887950,0.00801183,0.00304207,0.09380010,0.11783963,0.02081389,0.10521531,-0.03099949,0.07298621,0.01262432,XLP,-0.00907421,0.01998102,-0.03078312,0.01211629,0.07381908,0.14862275,0.73562951,513462120.07354832,3.37160300,0.94127424,2026-08-03,0.94127424,0.30633426,0.00103992,-0.02661684,0.01293425,1.02012868,-0.04322593,1.03101102,volatility;single_day_move;gap,3,threshold,30.26780000,2026-08-10,4,4,4,6.00000000,-1.00000000,True,True
8,IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,,NGM,3660008960.00000000,2026-08-26,8.07999992,-0.04265399,0.01126410,0.71914899,0.84897028,1.10966060,0.02081389,0.10521531,0.68510743,0.82815639,1.00444529,XLV,0.03754633,0.16634183,0.09953742,0.68160266,0.68262845,1.01012317,1.21933001,138443353.11969987,1.83858838,0.43087553,2026-08-06,0.43087553,0.31520090,0.42105095,0.04991948,0.44766501,0.37096765,-0.10122357,3.46408850,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,29.76450000,2026-07-17,5,10,15,10.00000000,2.00000000,True,True
9,IESC,"IES Holdings, Inc.",Industrials,,NGM,13209051136.00000000,2026-08-26,331.48001099,0.05826389,-0.55132037,-0.45049148,-0.52431653,-0.35434360,0.02081389,0.10521531,-0.48453305,-0.54513043,-0.45955891,XLI,-0.01178152,0.03465286,0.02699311,-0.43870997,-0.55896939,-0.38133671,0.94246144,130054115.55367737,3.53270614,0.54275660,2026-08-25,-0.54275660,0.32339968,0.31866737,,,0.50991180,-0.58249786,0.05826389,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,28.93380000,2026-08-04,3,7,2,7.00000000,-2.00000000,True,False
10,PURR,Hyperliquid Strategies Inc,Financial Services,,NCM,2318516480.00000000,2026-08-26,11.56000042,-0.02611621,0.23109691,0.87662349,0.38277523,1.79227072,0.02081389,0.10521531,0.84258193,0.36196133,1.68705542,XLF,0.01145833,0.13302218,0.12319259,0.86516516,0.24975305,1.66907814,3.22196799,146692703.78386301,1.11186074,0.30416675,2026-08-19,0.30416675,0.30877819,0.67572276,0.23109691,,0.08682641,-0.02611621,2.72903251,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,28.72240000,2026-07-16,5,6,6,8.00000000,-2.00000000,True,True
