rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,MRNA,"Moderna, Inc.",Healthcare,,NMS,56998912000.00000000,2026-08-27,142.77000427,-0.04603768,0.07088206,1.62011378,2.00126141,1.76097480,0.02186589,0.11867110,1.56303052,1.97939552,1.64230370,XLV,0.03212221,0.13719510,0.08995048,1.58799157,1.86406631,1.67102432,2.16337556,4210590902.30321884,9.25017597,1.76969516,2026-08-19,1.76969516,0.62856100,0.46255464,-0.14175938,,0.84275728,-0.18127079,5.38506263,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,84.07720000,2026-07-10,5,7,7,1.00000000,0.00000000,True,True
2,REPL,"Replimune Group, Inc.",Healthcare,,NMS,1469826304.00000000,2026-08-27,15.60000038,-0.01763222,0.11032030,1.88354914,2.33333354,1.02860862,0.02186589,0.11867110,1.82646588,2.31146765,0.90993752,XLV,0.03212221,0.13719510,0.08995048,1.85142693,2.19613844,0.93865814,0.30230571,80509707.39971638,1.81561126,1.07024032,2026-07-31,1.07024032,0.56298900,0.68869920,0.07678577,0.33660719,1.10332718,-0.01763222,8.17647056,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,78.23500000,2026-08-04,5,10,17,2.00000000,0.00000000,True,True
3,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,4018187264.00000000,2026-08-27,12.39999962,0.01307188,0.07173725,1.30055657,1.16404879,2.45403897,0.02186589,0.11867110,1.24347332,1.14218290,2.33536787,XLV,0.03212221,0.13719510,0.08995048,1.26843436,1.02685369,2.36408850,0.61028788,103853001.59643650,1.78768861,0.34776340,2026-08-10,0.34776340,0.26680751,0.67961130,0.19914343,0.13597425,0.26406933,-0.00800003,3.46043156,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,41.33110000,2026-07-28,5,10,14,3.00000000,0.00000000,True,True
4,AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,,NMS,4142708992.00000000,2026-08-27,37.18000031,0.00269683,-0.06253151,0.88444000,1.61462726,1.43643511,0.02186589,0.11867110,0.82735674,1.59276137,1.31776401,XLV,0.03212221,0.13719510,0.08995048,0.85231779,1.47743216,1.34648463,0.80262822,128762855.24404526,4.22142407,0.63835745,2026-08-18,0.63835745,0.48790544,0.55005757,0.06693245,,0.39570693,-0.06253151,2.96375265,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,38.58260000,2026-08-06,5,8,8,4.00000000,0.00000000,True,True
5,PURR,Hyperliquid Strategies Inc,Financial Services,,NCM,2573232128.00000000,2026-08-27,12.82999992,0.10986154,0.27281746,1.14907879,0.50234192,2.01882351,0.02186589,0.11867110,1.09199553,0.48047603,1.90015241,XLF,0.02117150,0.12892531,0.10247621,1.12790729,0.37341661,1.91634730,2.66122916,172559234.46100712,1.14478124,0.30416675,2026-08-19,0.30416675,0.28584874,0.76164066,0.23109691,,0.08682641,0.00000000,3.13870978,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,34.81290000,2026-07-16,5,7,7,10.00000000,5.00000000,True,True
6,ASST,"Strive, Inc.",Financial Services,,NGM,2073480832.00000000,2026-08-27,23.12000084,0.07534888,0.43335413,1.09041591,0.29887651,1.82295507,0.02186589,0.11867110,1.03333265,0.27701062,1.70428397,XLF,0.02117150,0.12892531,0.10247621,1.06924441,0.16995120,1.72047886,3.91122509,103515469.71703529,0.86623606,0.15078120,2026-08-19,0.15078120,0.13851358,0.70131019,0.45960629,,0.09485436,-0.87025813,2.22679706,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,31.96420000,2026-08-20,5,6,6,14.00000000,8.00000000,True,True
7,HTFL,"Heartflow, Inc.",Healthcare,,NMS,4182469120.00000000,2026-08-27,48.09999847,-0.01716388,0.02777776,0.92092639,0.51591551,0.99667904,0.02186589,0.11867110,0.86384313,0.49404962,0.87800794,XLV,0.03212221,0.13719510,0.08995048,0.88880418,0.37872041,0.90672857,1.02553489,86731557.93729782,1.70652732,0.35698167,2026-08-14,0.35698167,0.41435812,0.81598377,0.18227181,,0.25959371,-0.04183271,1.34748653,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,31.85400000,2026-07-20,5,10,10,6.00000000,-1.00000000,True,True
8,IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,,NGM,3741544192.00000000,2026-08-27,8.26000023,0.02227727,-0.08120129,0.81140358,0.92093020,1.17941961,0.02186589,0.11867110,0.75432033,0.89906431,1.06074851,XLV,0.03212221,0.13719510,0.08995048,0.77928137,0.78373510,1.08946913,0.74383785,138241377.59585142,1.84139316,0.43087553,2026-08-06,0.43087553,0.31694211,0.46463483,0.04991948,0.44766501,0.37096765,-0.08120129,3.56353618,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,31.85250000,2026-07-17,5,10,16,8.00000000,0.00000000,True,True
9,MNST,Monster Beverage Corporation,Consumer Defensive,,NMS,91487723520.00000000,2026-08-27,46.70000076,-0.02321691,-0.01663510,-0.04440348,0.04661591,0.09354874,0.02186589,0.11867110,-0.10148674,0.02475002,-0.02512236,XLP,-0.02609889,0.00769870,-0.04253881,-0.01830460,0.03891721,0.13608755,0.74022400,508722425.15357971,3.37329039,0.94127424,2026-08-03,0.94127424,0.30654013,0.01555794,-0.02661684,0.01293425,1.02012868,-0.06543927,0.98385722,spy_relative;volatility;single_day_move;gap,4,threshold,31.53750000,2026-08-10,5,5,5,7.00000000,-2.00000000,True,True
10,LIFE,Ethos Technologies Inc.,Financial Services,,NMS,3779868672.00000000,2026-08-27,39.43999863,0.00843769,0.17661092,0.98790314,1.01430024,2.21172634,0.02186589,0.11867110,0.93081988,0.99243435,2.09305524,XLF,0.02117150,0.12892531,0.10247621,0.96673164,0.88537494,2.10925013,1.00510109,57831094.94947433,0.93900895,0.21112570,2026-08-04,0.21112570,0.23337029,0.79074618,0.20976496,0.23001804,0.19710907,0.00000000,3.00406062,spy_relative;sector_relative;single_day_move;gap,4,threshold,29.55130000,2026-08-06,5,10,16,5.00000000,-5.00000000,True,True
