rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,MRNA,"Moderna, Inc.",Healthcare,,NMS,58108788736.00000000,2026-09-04,145.55000305,-0.02230128,0.05478656,1.70237656,2.06808616,1.77132524,0.04425465,0.14546833,1.70025570,2.02383151,1.62585691,XLV,0.04256613,0.12051502,0.12278979,1.65981043,1.94757114,1.64853546,0.58772927,4954420408.88105392,9.02796084,1.76969516,2026-08-19,1.76969516,0.62944758,0.47914880,-0.14175938,-0.13516462,0.84275728,-0.16532860,5.50939173,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,85.34020000,2026-07-10,5,10,11,1.00000000,0.00000000,True,True
2,ALMS,Alumis Inc.,Healthcare,,NMS,1436731264.00000000,2026-09-04,11.10000038,-0.02288726,-0.50402141,-0.60071940,-0.41762851,-0.58736057,0.04425465,0.14546833,-0.60284026,-0.46188315,-0.73282891,XLV,0.04256613,0.12051502,0.12278979,-0.64328553,-0.53814352,-0.71015036,12.19061339,41440526.48695946,3.00567995,0.56579548,2026-09-01,-0.56579548,0.43246862,0.58322452,,,0.54470424,-0.63366334,1.81012664,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,40.21720000,2026-07-10,2,2,2,3.00000000,1.00000000,True,False
3,ASST,"Strive, Inc.",Financial Services,,NGM,2531145984.00000000,2026-09-04,27.13999939,0.01193138,0.24839005,1.20471149,0.94971259,2.11954023,0.04425465,0.14546833,1.20259064,0.90545794,1.97407190,XLF,0.00501638,0.11089865,0.14890249,1.19969511,0.83881394,1.97063774,1.94539654,185370810.35104752,0.99619358,0.15078120,2026-08-19,0.15078120,0.13437589,0.73253221,0.45960629,0.65105230,0.09485436,-0.84769922,2.78785758,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,34.61840000,2026-08-20,5,10,10,9.00000000,6.00000000,True,True
4,HTFL,"Heartflow, Inc.",Healthcare,,NMS,4252901632.00000000,2026-09-04,48.90999985,-0.01609333,0.02365009,0.79882306,0.74056937,1.12837253,0.04425465,0.14546833,0.79670220,0.69631472,0.98290420,XLV,0.04256613,0.12051502,0.12278979,0.75625693,0.62005435,1.00558275,0.84660654,106569959.19925690,1.85666839,0.35698167,2026-08-14,0.35698167,0.43833674,0.77887388,0.18227181,0.13545620,0.25959371,-0.03014080,1.38701808,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,29.45800000,2026-07-20,5,10,14,7.00000000,3.00000000,True,True
5,ARX,Accelerant Holdings,Financial Services,,NYQ,4317708288.00000000,2026-09-04,19.87999916,0.00913697,0.00760262,0.61757520,0.32621744,0.76868324,0.04425465,0.14546833,0.61545435,0.28196280,0.62321490,XLF,0.00501638,0.11089865,0.14890249,0.61255882,0.21531879,0.61978075,0.20947167,136238332.01061249,2.25446269,0.43350483,2026-08-13,0.43350483,0.67732035,0.85464254,0.00307532,0.00922605,0.44085240,-0.01681504,1.12393161,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,29.34400000,2026-08-13,5,10,15,11.00000000,6.00000000,True,True
6,RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,,NMS,1508409728.00000000,2026-09-04,15.30000019,0.03030302,-0.40257713,-0.40743608,-0.30168871,-0.27999999,0.04425465,0.14546833,-0.40955694,-0.34594336,-0.42546832,XLV,0.04256613,0.12051502,0.12278979,-0.45000221,-0.42220373,-0.40278978,4.63811629,82781235.54427624,3.07335732,0.44025631,2026-09-03,-0.44025631,0.55344380,0.56002429,,,0.47229553,-0.58128079,0.03030302,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,28.40660000,2026-07-10,1,1,1,,,True,False
7,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,3703861504.00000000,2026-09-04,11.43000031,-0.01210021,0.00704845,0.75038284,1.03380792,2.31304352,0.04425465,0.14546833,0.74826198,0.98955328,2.16757519,XLV,0.04256613,0.12051502,0.12278979,0.70781671,0.91329291,2.19025373,0.34844432,107464603.38059425,1.87925513,0.34776340,2026-08-10,0.34776340,0.29006540,0.49436188,0.19914343,0.13597425,0.26406933,-0.08559998,3.11151094,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,28.19430000,2026-07-28,5,10,18,6.00000000,-1.00000000,True,True
8,HZO,"MarineMax, Inc.  (FL)",Consumer Cyclical,,NYQ,1152044160.00000000,2026-09-04,52.15999985,0.00000000,-0.00038330,0.48477080,0.57869245,0.94192102,0.04425465,0.14546833,0.48264995,0.53443780,0.79645269,XLY,-0.02701096,0.00043534,0.00410697,0.51178177,0.57825711,0.93781406,0.98206960,58770040.13706207,3.50585713,0.46076229,2026-08-10,0.46076229,0.90867282,0.92972185,0.00249426,0.00019191,0.45431611,-0.00571863,1.43397103,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,27.84020000,2026-08-10,5,10,18,12.00000000,4.00000000,True,True
9,TEAM,Atlassian Corporation,Technology,,NMS,47990059008.00000000,2026-09-04,189.58000183,-0.02619679,-0.00438511,0.72079518,0.90590127,1.26716091,0.04425465,0.14546833,0.71867432,0.86164662,1.12169258,XLK,0.01052176,0.03871323,0.36411980,0.71027342,0.86718804,0.90304111,0.66155949,766118570.46913147,0.58725195,0.35309077,2026-08-07,0.35309077,0.37955815,0.62385978,0.08821355,0.15254571,0.31737312,-0.02619679,2.31723529,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,27.43990000,2026-07-27,5,10,19,10.00000000,1.00000000,True,True
10,AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,,NMS,3799525888.00000000,2026-09-04,34.09999847,0.00412248,-0.01842266,0.40967332,1.56006000,1.46209368,0.04425465,0.14546833,0.40755247,1.51580536,1.31662535,XLV,0.04256613,0.12051502,0.12278979,0.36710719,1.43954498,1.33930390,0.45878952,129729508.51855278,4.03783029,0.63835745,2026-08-18,0.63835745,0.54477640,0.33410778,0.06693245,-0.03702647,0.39570693,-0.14019166,2.34313717,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,27.14750000,2026-08-06,5,10,12,5.00000000,-5.00000000,True,True
