rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,GEF,Greif Inc.,Consumer Cyclical,4832093696.00000000,2026-09-04,85.00000000,-0.04687150,0.33668816,0.22867880,0.29243351,0.08321047,XLY,0.33625282,0.22457184,0.04618520,0.03802781,0.05202668,0.32886733,38.00000000,25.00000000,0.60317460,0.05291521,0.05288847,0.28961338,0.04618520,0.03802781,0.02849862,0.12744599,67.00000000,59.00000000,0.53174603,0.05291521,0.03030466,0.11559473,1.47475335,0.76735550,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92134269,0.84268537
2,TGT,Target Corporation,Consumer Defensive,74704560128.00000000,2026-09-04,164.44000244,0.11803101,0.34160074,0.36137098,0.29734609,0.21590265,XLP,0.32793824,0.37536022,0.05286702,0.03069250,0.05119191,0.28582154,34.00000000,29.00000000,0.53968254,0.04315994,0.05077095,0.32972165,0.05437124,0.05524991,0.02808043,0.15963796,64.00000000,61.00000000,0.51200000,0.04623641,0.02885189,0.20129263,0.62428544,1.01599765,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91783567,0.83567134
3,STT,State Street Corporation,Financial Services,53363560448.00000000,2026-09-04,194.25999451,0.05050831,0.20098915,0.60492393,0.15673450,0.45945560,XLF,0.09009050,0.45602145,0.03851406,0.02289131,0.05259341,0.25078012,37.00000000,26.00000000,0.58730159,0.03216105,0.05134390,0.12448609,0.03851406,0.02451421,0.02539434,0.31311816,75.00000000,51.00000000,0.59523810,0.03618814,0.02942174,0.27176817,1.02034739,0.87985658,sector_coverage,quiet_drift_sector_coverage_top,126d,up,same_direction,0.90665994,0.81331988
4,PSX,Phillips 66,Energy,102274506752.00000000,2026-09-04,255.08999634,0.24119303,0.39332529,0.53705704,0.34907064,0.39158871,XLE,0.28252245,0.40465474,0.05693689,0.03265534,0.05612746,0.32888238,38.00000000,25.00000000,0.60317460,0.03739485,0.05309308,0.32174037,0.05693689,0.04579279,0.02702956,0.20472175,73.00000000,53.00000000,0.57936508,0.03739485,0.02823886,0.23072080,1.12308636,0.94521934,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.89478958,0.78957916
5,TTEK,"Tetra Tech, Inc.",Industrials,9194555392.00000000,2026-09-04,35.90999985,0.03397640,0.28709679,0.02982509,0.24284214,-0.11564324,XLI,0.28083883,-0.00153893,0.05079959,0.03493192,0.05351589,0.26717645,35.00000000,28.00000000,0.55555556,0.05343442,0.05498329,0.25328567,0.05747125,0.05553808,0.03109895,0.01590026,61.00000000,64.00000000,0.48800000,0.05499303,0.02779933,0.00075484,0.66074053,0.59418025,sector_coverage,quiet_drift_sector_coverage_top,63d,up,recent_regime_change,0.89428858,0.78857715
6,VOYA,"Voya Financial, Inc.",Financial Services,9430173696.00000000,2026-09-04,104.08999634,0.02551721,0.20071512,0.53729136,0.15646047,0.39182302,XLF,0.08981647,0.38838887,0.02412346,0.04996026,0.03764594,0.28631903,34.00000000,29.00000000,0.53968254,0.02676771,0.05211107,0.15135895,0.04118816,0.04996026,0.02844919,0.29799120,72.00000000,53.00000000,0.57600000,0.04824641,0.04310411,0.26017597,0.84657468,0.75785039,sector_coverage,quiet_drift_sector_coverage_bottom,126d,up,same_direction,0.89101917,0.78203835
7,SFD,"Smithfield Foods, Inc.",Consumer Defensive,8651070464.00000000,2026-09-04,21.96999931,-0.12400321,-0.18235956,-0.09476725,-0.22661421,-0.24023558,XLP,-0.19602206,-0.08077801,0.04773867,0.03232410,0.06209687,0.26081758,25.00000000,38.00000000,0.39682540,0.05351023,0.07877642,0.31637426,0.06439264,0.05153326,0.03896992,0.06017706,58.00000000,68.00000000,0.46031746,0.07550642,0.05088842,0.05760697,0.95637909,0.92086243,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.11172345,0.77655311
8,MMSI,"Merit Medical Systems, Inc.",Healthcare,5350053376.00000000,2026-09-04,89.59999847,0.02178123,0.38957807,0.23314057,0.34532342,0.08767224,XLV,0.26906305,0.11035079,0.03605205,0.05146972,0.04013426,0.36792212,40.00000000,22.00000000,0.64516129,0.04707397,0.05915006,0.27042093,0.09049578,0.05146972,0.04656913,0.10789602,67.00000000,57.00000000,0.54032258,0.08915408,0.05264480,0.05535733,0.67142752,0.57817872,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88727455,0.77454910
9,HE,"Hawaiian Electric Industries, I",Utilities,1915553536.00000000,2026-09-04,11.09000015,-0.11208964,-0.18094533,-0.25670241,-0.22519998,-0.40217074,XLU,-0.15230956,-0.17839689,0.05806446,0.02016129,0.08178079,0.27998689,21.00000000,38.00000000,0.35593220,0.04875078,0.07502897,0.26248279,0.06068777,0.02233904,0.03920680,0.19098806,52.00000000,69.00000000,0.42975207,0.07195524,0.05108787,0.15273225,1.23061529,0.97292957,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.14829659,0.70340681
10,LXP,LXP Industrial Trust,Real Estate,3583422464.00000000,2026-09-04,60.77999878,0.00379851,0.16414480,0.27528323,0.11989015,0.12981490,XLRE,0.18137076,0.25103514,0.03999317,0.03862591,0.08722100,0.33259067,38.00000000,24.00000000,0.61290323,0.04340607,0.09486192,0.37013443,0.04013448,0.03862591,0.03375214,0.20500154,70.00000000,54.00000000,0.56451613,0.04340607,0.04388556,0.22163107,1.50097546,0.16020863,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.82314629,0.64629259
