rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,KLAC,KLA Corporation,,,NMS,291064250368.00000000,2026-07-13,222.86000061,-0.03740499,-0.04479018,9.43527961,9.39719875,,,,0.19890246,3804142938.15200520,57.09007051,9.55464297,8.85221694,-0.26134365,25.40834248,spy_relative;volatility;single_day_move;gap,4,threshold,418.48020000,2026-07-13,1,1,1,,,True,False
2,CRWD,"CrowdStrike Holdings, Inc.",,,NMS,188515418112.00000000,2026-07-13,184.94000244,-0.01196704,-0.07242453,3.56825282,3.53017196,,,,0.14402865,1929715657.60231638,19.99333292,3.01646087,2.96003846,-0.07242453,7.44836556,spy_relative;volatility;single_day_move;gap,4,threshold,142.83460000,2026-07-13,1,1,1,,,True,False
3,CRNX,"Crinetics Pharmaceuticals, Inc.",,,NMS,8851418112.00000000,2026-07-13,83.63500214,0.00065806,0.98988828,1.43691733,1.39883647,,,,15.09825253,540201356.82097888,6.50032359,0.98738999,0.98857969,0.00000000,2.11489761,spy_relative;volume;volatility;single_day_move;gap,5,threshold,58.43510000,2026-07-13,1,1,1,,,True,False
4,MLI,"Mueller Industries, Inc.",,,NYQ,12669029376.00000000,2026-07-13,57.22499847,0.00412347,0.00677337,0.72832973,0.69024887,,,,0.41924512,108679803.12269592,8.40838550,0.86838031,1.01382898,-0.01097480,1.74658032,spy_relative;volatility;single_day_move;gap,4,threshold,41.12240000,2026-07-13,1,1,1,,,True,False
5,DD,"DuPont de Nemours, Inc.",,,NYQ,18275551232.00000000,2026-07-13,135.61999512,0.00697953,-0.03849704,-0.66558169,-0.70366255,,,,1.08367934,208780504.15085298,6.97933596,0.67188055,0.65538174,-0.70757057,0.23140197,spy_relative;volatility;single_day_move;gap,4,threshold,32.40960000,2026-07-13,1,1,1,,,True,False
6,DFTX,"Definium Therapeutics, Inc.",,,NMS,6028627968.00000000,2026-07-13,45.10499954,-0.04174634,0.01748247,0.94083477,0.90275390,,,,0.44484508,192811434.96162319,3.36002850,0.49795747,0.57598050,-0.06904027,4.58921949,spy_relative;volatility;single_day_move;gap,4,threshold,28.86640000,2026-07-13,1,1,1,,,True,False
7,QURE,uniQure N.V.,,,NMS,2822019840.00000000,2026-07-13,40.99750137,-0.03829462,-0.00876449,0.52861677,0.49053591,,,,0.44197550,137974652.60748369,2.21245700,0.78436459,0.61356056,-0.41921655,3.54014425,spy_relative;volatility;single_day_move;gap,4,threshold,27.57700000,2026-07-13,1,1,1,,,True,False
8,HQ,Horizon Quantum Holdings Ltd.,,,NCM,1139361024.00000000,2026-07-13,22.25000000,-0.03218790,-0.08133771,1.22277717,1.18469631,,,,0.25385728,40976328.19558945,,0.63336388,0.13125002,-0.42042198,1.67106845,spy_relative;single_day_move;gap,3,threshold,25.73180000,2026-07-13,1,1,1,,,True,False
9,TRAX,"First Tracks Biotherapeutics, I",,,NMS,1213905920.00000000,2026-07-13,34.47999954,-0.04856518,0.72055878,1.09987816,1.06179730,,,,2.24114897,21648246.68520927,,0.55994226,0.02861863,-0.04856518,1.25065276,spy_relative;volume;single_day_move,3,threshold,22.51670000,2026-07-13,1,1,1,,,True,False
10,APGE,"Apogee Therapeutics, Inc.",,,NGM,10053566464.00000000,2026-07-13,133.72500610,0.00056126,0.00168544,0.61659821,0.57851735,,,,0.22128859,787180325.61502230,2.87349037,0.46658561,0.46713886,0.00000000,2.85930737,spy_relative;volatility;single_day_move;gap,4,threshold,22.48600000,2026-07-13,1,1,1,,,True,False
11,BFLY,"Butterfly Network, Inc.",,,NYQ,2048648320.00000000,2026-07-13,7.82499981,-0.01942359,-0.04921018,0.45176252,0.41368166,,,,0.47414638,96105043.41336370,2.00626215,0.55866892,0.26269702,-0.12177329,4.88345831,spy_relative;volatility;single_day_move;gap,4,threshold,18.24230000,2026-07-13,1,1,1,,,True,False
12,ABSI,Absci Corporation,,,NMS,1753293568.00000000,2026-07-13,10.30000019,-0.02830190,-0.10745232,0.61442006,0.57633920,,,,0.52128244,78436192.72569422,1.53044858,0.35964913,0.28340087,-0.11359722,3.47826105,spy_relative;volatility;single_day_move;gap,4,threshold,17.41100000,2026-07-13,1,1,1,,,True,False
13,MBX,"MBX Biosciences, Inc.",,,NMS,2787549696.00000000,2026-07-13,58.04550171,-0.04921372,0.00598788,0.87303976,0.83495890,,,,0.69568174,53107527.09237289,0.74508055,0.20200065,0.14093960,-0.11664126,4.95643944,spy_relative;single_day_move;gap,3,threshold,15.33610000,2026-07-13,1,1,1,,,True,False
14,ABVX,Abivax SA,,,NGM,11969339392.00000000,2026-07-13,137.30000305,-0.01858464,-0.04646158,0.40059170,0.36251084,,,,0.34614209,286028572.68719941,1.49754934,0.38595936,0.36136248,-0.05512349,14.54926435,spy_relative;single_day_move;gap,3,threshold,15.20740000,2026-07-13,1,1,1,,,True,False
15,SLS,"SELLAS Life Sciences Group, Inc",,,NCM,2530661120.00000000,2026-07-13,12.79020023,0.00236677,-0.08248202,0.78883917,0.75075831,,,,0.69897980,137832801.46568903,1.22023023,0.24697332,0.07586760,-0.17215531,8.20158300,spy_relative;single_day_move;gap,3,threshold,13.99650000,2026-07-13,1,1,1,,,True,False
