rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8879995904.00000000,2026-07-15,83.90000153,0.00226977,0.00491081,1.43400054,1.11069186,0.51580856,0.08690202,0.08580762,1.41639353,1.02378985,0.43000094,XLV,0.02912682,0.06356240,0.00578211,1.40487372,1.04712947,0.51002645,1.00107027,592614520.31925201,6.65354495,0.98738999,2026-07-07,0.98738999,0.75463754,0.88759385,0.00215492,,0.98857969,0.00000000,2.12476724,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,67.92970000,2026-07-10,3,3,3,1.00000000,0.00000000,True,True
2,DFTX,"Definium Therapeutics, Inc.",Healthcare,,NMS,6061057024.00000000,2026-07-15,45.65999985,-0.00695954,0.00750221,0.84484848,1.08207931,2.28962532,0.08690202,0.08580762,0.82724147,0.99517729,2.20381770,XLV,0.02912682,0.06356240,0.00578211,0.81572166,1.01851691,2.28384321,0.42279719,198882225.81445694,3.35349912,0.49795747,2026-06-22,0.49795747,0.41174049,0.55480409,0.26943009,0.21298069,0.57598050,-0.05758516,4.40995286,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,38.11470000,2026-07-10,3,3,3,3.00000000,1.00000000,True,True
3,HQ,Horizon Quantum Holdings Ltd.,Technology,,NCM,1130076928.00000000,2026-07-15,21.90999985,0.03397826,-0.07786197,1.00824933,1.11078994,,0.08690202,0.08580762,0.99064232,1.02388793,,XLK,-0.01742425,0.22738947,0.23700531,1.02567358,0.88340047,,0.28888255,36615974.05506134,,0.63336388,2026-06-15,0.63336388,0.25017330,0.30089749,0.87373737,0.55780026,0.13125002,-0.42927845,1.63025211,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,36.12700000,2026-07-10,3,3,3,2.00000000,-1.00000000,True,True
4,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1260661760.00000000,2026-07-15,36.13000107,0.05120751,0.73952818,1.04818607,0.47169052,,0.08690202,0.08580762,1.03057907,0.38478850,,XLV,0.02912682,0.06356240,0.00578211,1.01905925,0.40812812,,2.67950028,24932610.62172890,,0.55994226,2026-07-09,0.55994226,0.35434624,0.49680981,,,0.02861863,-0.00303534,1.35835521,spy_relative;sector_relative;volume;single_day_move,4,threshold_and_sector_coverage,35.10830000,2026-07-10,3,3,3,4.00000000,0.00000000,True,True
5,QURE,uniQure N.V.,Healthcare,,NMS,2818926080.00000000,2026-07-15,41.00000000,-0.01252410,-0.05725458,0.48712370,1.39906376,0.77951382,0.08690202,0.08580762,0.46951669,1.31216174,0.69370620,XLV,0.02912682,0.06356240,0.00578211,0.45799688,1.33550136,0.77373171,0.36899550,141930907.22327232,2.21614026,0.78436459,2026-06-17,0.78436459,0.57575931,0.34264884,0.01951824,-0.13185213,0.61356056,-0.41918116,3.54042095,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,33.04170000,2026-07-10,3,3,3,5.00000000,0.00000000,True,True
6,APGE,"Apogee Therapeutics, Inc.",Healthcare,,NGM,10155925504.00000000,2026-07-15,134.28999329,0.00246332,0.00780483,0.52032141,0.51791558,0.72942680,0.08690202,0.08580762,0.50271441,0.43101357,0.64361917,XLV,0.02912682,0.06356240,0.00578211,0.49119460,0.45435319,0.72364469,0.19425655,797403779.16641235,2.85205270,0.46658561,2026-06-22,0.46658561,0.79937161,0.83874799,0.00045264,0.00746881,0.46713886,0.00000000,2.87561291,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,27.66420000,2026-07-10,3,3,3,6.00000000,0.00000000,True,True
7,ABVX,Abivax SA,Healthcare,,NGM,11935782912.00000000,2026-07-15,136.94000244,0.01504706,-0.01154895,0.41833245,0.08855325,0.16050850,0.08690202,0.08580762,0.40072544,0.00165124,0.07470087,XLV,0.02912682,0.06356240,0.00578211,0.38920563,0.02499086,0.15472639,0.36422564,288273415.18508911,1.48443657,0.38595936,2026-06-30,0.38595936,0.45477876,0.44458096,0.03962178,0.02761525,0.36136248,-0.05760096,12.86032397,spy_relative;sector_relative;single_day_move;gap,4,threshold,20.55020000,2026-07-10,3,3,3,11.00000000,4.00000000,True,True
8,ABSI,Absci Corporation,Healthcare,,NMS,1653347328.00000000,2026-07-15,9.76000023,-0.04594324,-0.12072073,0.43529411,2.09841268,1.87058822,0.08690202,0.08580762,0.41768710,2.01151066,1.78478060,XLV,0.02912682,0.06356240,0.00578211,0.40616729,2.03485028,1.86480611,0.47191791,79041437.29889154,1.53783370,0.35964913,2026-06-24,0.35964913,0.28885614,0.30346226,0.10272952,0.13846159,0.28340087,-0.16006882,3.24347845,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,20.50980000,2026-07-10,3,3,3,9.00000000,1.00000000,True,True
9,BFLY,"Butterfly Network, Inc.",Healthcare,,NYQ,1909978752.00000000,2026-07-15,7.30000019,-0.05806449,-0.00544959,0.31768957,0.64414417,0.70960193,0.08690202,0.08580762,0.30008257,0.55724215,0.62379430,XLV,0.02912682,0.06356240,0.00578211,0.28856276,0.58058177,0.70381982,0.69432113,103152893.97350788,2.03501089,0.55866892,2026-06-18,0.55866892,0.36655465,0.19367427,-0.00112351,-0.07528091,0.26269702,-0.18069581,4.48872177,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,20.44850000,2026-07-10,3,3,3,8.00000000,-1.00000000,True,True
10,MBX,"MBX Biosciences, Inc.",Healthcare,,NMS,2887980544.00000000,2026-07-15,60.67499924,0.07218588,-0.01724980,0.70867367,0.84928365,0.66369611,0.08690202,0.08580762,0.69106667,0.76238164,0.57788849,XLV,0.02912682,0.06356240,0.00578211,0.67954685,0.78572126,0.65791400,0.80282261,55671033.79238129,0.67724267,0.09771899,2026-06-15,0.09771899,0.11352894,0.63291936,0.19009748,0.41611086,0.12025318,-0.07662456,5.22626988,spy_relative;sector_relative;single_day_move;gap,4,threshold,20.24660000,2026-07-10,3,3,3,7.00000000,-3.00000000,True,True
