rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,4109426688.00000000,2026-07-15,115.62999725,-0.04351065,-0.32391979,-0.32022344,-0.41082181,-0.40603106,XLF,-0.41623348,-0.34319324,0.04725805,0.02633699,0.04498441,0.37033782,25.00000000,38.00000000,0.39682540,0.04899431,0.04436272,0.43439006,0.05482655,0.03678877,0.03025827,0.21241381,60.00000000,66.00000000,0.47619048,0.05929133,0.02843189,0.19598385,0.63712746,1.37454915,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.02245089,0.95509822
2,DINO,HF Sinclair Corporation,Energy,15130517504.00000000,2026-07-15,83.93000031,0.17779958,0.46807772,0.69452862,0.38117570,0.60872099,XLE,0.45824752,0.47527959,0.06329457,0.05262419,0.04833851,0.29452355,39.00000000,24.00000000,0.61904762,0.04659570,0.04470955,0.35902552,0.10855659,0.17113220,0.04102463,0.19978921,72.00000000,54.00000000,0.57142857,0.13389480,0.06420282,0.15783741,1.09635305,0.87583365,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94434051,0.88868101
3,ENVA,"Enova International, Inc.",Financial Services,5864374784.00000000,2026-07-15,235.66000366,0.24470502,0.53185133,0.48925680,0.44494932,0.40344917,XLF,0.43953765,0.46628699,0.05638771,0.02536677,0.04404693,0.33503201,39.00000000,24.00000000,0.61904762,0.04491231,0.03774342,0.28419893,0.07715953,0.04807556,0.03121077,0.16134585,73.00000000,53.00000000,0.57936508,0.07100169,0.03397284,0.17970112,0.61916667,1.03004471,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94153414,0.88306829
4,RLJ,RLJ Lodging Trust,Real Estate,1788135168.00000000,2026-07-15,11.71000004,0.06261339,0.43154029,0.51880674,0.34463828,0.43299912,XLRE,0.40552139,0.42181013,0.05029941,0.01981976,0.05675955,0.40719044,43.00000000,19.00000000,0.69354839,0.04703570,0.05337981,0.37798816,0.06796113,0.03606099,0.03505915,0.21658682,74.00000000,49.00000000,0.60162602,0.04864073,0.02656192,0.17766784,0.80852708,0.95235663,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93592142,0.87184284
5,MZTI,The Marzetti Company,Consumer Defensive,2892238336.00000000,2026-07-15,105.47000122,-0.05501299,-0.25887146,-0.37562158,-0.34577347,-0.46142920,XLP,-0.28342037,-0.41665427,0.06560537,0.02950634,0.06392666,0.28980018,27.00000000,36.00000000,0.42857143,0.06034345,0.06637907,0.35622384,0.07687890,0.05123342,0.04119037,0.25060199,58.00000000,68.00000000,0.46031746,0.09607788,0.05283520,0.28112590,0.72771301,1.36755917,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07249766,0.85500468
6,STN,Stantec Inc,Industrials,7834121216.00000000,2026-07-15,68.68000031,-0.04954334,-0.23459269,-0.30584194,-0.32149471,-0.39164956,XLI,-0.27330046,-0.40935361,0.06621332,0.02540746,0.06723198,0.26995108,28.00000000,35.00000000,0.44444444,0.07798405,0.07595297,0.29737247,0.11651668,0.04101496,0.05987559,0.18645477,60.00000000,66.00000000,0.47619048,0.11185708,0.06113550,0.25335502,0.75325052,0.82313772,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07951356,0.84097287
7,RGLD,"Royal Gold, Inc.",Basic Materials,16380951552.00000000,2026-07-15,193.02000427,-0.07009685,-0.28911310,-0.21847920,-0.37601511,-0.30428682,XLB,-0.26008025,-0.25928710,0.06404138,0.05415036,0.05272642,0.27961476,22.00000000,41.00000000,0.34920635,0.04681915,0.05099091,0.33955998,0.09819170,0.07387495,0.03534973,0.08841258,59.00000000,67.00000000,0.46825397,0.08864569,0.04087478,0.13211094,0.76397773,0.69219939,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.08559401,0.82881197
8,AXIA,AXIA Energia,Utilities,22581233664.00000000,2026-07-15,9.92000008,-0.03501942,-0.26135519,0.04973548,-0.34825720,-0.03607214,XLU,-0.23445611,-0.01226544,0.06576862,0.03565767,0.06372584,0.29219792,21.00000000,42.00000000,0.33333333,0.05503965,0.05499988,0.27547144,0.06576862,0.07310706,0.02683786,0.01981729,56.00000000,69.00000000,0.44800000,0.06658013,0.02790236,0.00486827,1.03764424,0.61954283,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.10710945,0.78578110
9,PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,13176150016.00000000,2026-07-15,200.39999390,0.10742698,0.27424168,0.21557681,0.18733966,0.12976919,XLY,0.26943235,0.27596869,0.06258125,0.03837819,0.06734633,0.26200252,34.00000000,29.00000000,0.53968254,0.06215506,0.06608710,0.25258149,0.06258125,0.03837819,0.03609986,0.11294931,62.00000000,64.00000000,0.49206349,0.06215506,0.03557577,0.14739193,1.06769134,1.28603403,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88914874,0.77829747
10,TDS,"Telephone and Data Systems, Inc",Communication Services,3880008192.00000000,2026-07-15,34.08000183,-0.15118305,-0.25082434,-0.19203410,-0.33772636,-0.27784172,XLC,-0.22354225,-0.15655979,0.06800086,0.01355149,0.07813587,0.32979033,26.00000000,37.00000000,0.41269841,0.05872533,0.06249071,0.27786334,0.06800086,0.03008342,0.04045851,0.12658264,60.00000000,66.00000000,0.47619048,0.05872533,0.03291051,0.09925868,1.07908572,0.94911675,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.11506080,0.76987839
11,MSM,"MSC Industrial Direct Company, ",Industrials,6908186624.00000000,2026-07-15,123.69999695,0.06007365,0.29150134,0.47948805,0.20459933,0.39368043,XLI,0.25279358,0.37597638,0.06480626,0.03025656,0.07844654,0.31178015,30.00000000,32.00000000,0.48387097,0.06256101,0.08818168,0.30703528,0.06480626,0.03999128,0.03873072,0.23532474,66.00000000,59.00000000,0.52800000,0.06256101,0.04407106,0.20654355,0.87938941,0.95097742,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88353601,0.76707203
12,KT,KT Corporation,Communication Services,8258411008.00000000,2026-07-15,17.34000015,-0.06320908,-0.23780219,-0.08976374,-0.32470421,-0.17557136,XLC,-0.21052010,-0.05428942,0.03907920,0.04539448,0.05064460,0.35052482,19.00000000,42.00000000,0.31147541,0.05003666,0.05743626,0.27995504,0.04088192,0.04539448,0.02504354,0.05757256,59.00000000,65.00000000,0.47580645,0.05003666,0.02929769,0.03392076,0.81874718,1.19751330,sector_coverage,quiet_drift_sector_coverage_top,63d,down,same_direction,0.13236670,0.73526660
13,RHP,"Ryman Hospitality Properties, I",Real Estate,7888027648.00000000,2026-07-15,124.98999786,0.01775100,0.22515195,0.32573186,0.13824993,0.23992423,XLRE,0.19913304,0.22873524,0.04459471,0.01884103,0.05682692,0.25986368,32.00000000,31.00000000,0.50793651,0.04654543,0.06771489,0.25805282,0.04459471,0.02999801,0.02825895,0.17906624,70.00000000,56.00000000,0.55555556,0.04654543,0.03368241,0.13705024,0.68335488,1.17699726,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.84097287,0.68194574
